,cluster,complex,overlap_genes,overlap_fraction,raw_p_value,complex_size,overlap_size,cluster_size
0,21,ERBB2,"['LRPPRC', 'LPAR6']",0.02040816326530612,0.15131766095154203,30,2,98
1,21,TOMM40,"['TOMM5', 'TOMM40']",0.02040816326530612,0.010253916969668063,7,2,98
2,21,TXN,"['GABARAP', 'GLRX']",0.02040816326530612,0.05122170732073169,16,2,98
3,21,CCDC59,"['CCDC59', 'TFAM']",0.02040816326530612,0.00503243366888972,5,2,98
4,21,RPL4,"['BRIX1', 'RRP1']",0.02040816326530612,0.0974208090387962,23,2,98
5,21,NCK2,"['RASAL3', 'SOS1']",0.02040816326530612,0.02529060818061739,11,2,98
6,21,MYO1F,"['MYO1F', 'MYL12A']",0.02040816326530612,0.03481172787162497,13,2,98
7,21,MYC,"['CCT6A', 'EED']",0.02040816326530612,0.127510210919501,27,2,98
8,21,KLHL3,"['DCUN1D5', 'SQSTM1']",0.02040816326530612,0.021004377217222096,10,2,98
9,21,NBR1,"['SQSTM1', 'EED']",0.02040816326530612,0.010253916969668063,7,2,98
10,21,EIF3J,"['EIF3J', 'ABCE1']",0.02040816326530612,0.02529060818061739,11,2,98
11,21,BRIX1,"['BRIX1', 'RRP1']",0.02040816326530612,0.040013594582753186,14,2,98
12,21,GABARAP,"['SQSTM1', 'GABARAP']",0.02040816326530612,0.0571983149807814,17,2,98
13,21,RPL36,"['BRIX1', 'LYAR']",0.02040816326530612,0.07645147514214128,20,2,98
14,21,LYAR,"['DKC1', 'LYAR']",0.02040816326530612,0.0074354917469861784,6,2,98
15,21,NDUFAB1,"['LRPPRC', 'TUFM']",0.02040816326530612,0.460702800894663,67,2,98
16,21,RRP1,"['BRIX1', 'RRP1']",0.02040816326530612,0.040013594582753186,14,2,98
17,21,RAP1A,"['RASGRP1', 'SOS1']",0.02040816326530612,0.010253916969668063,7,2,98
18,21,CYTH2,"['CYTIP', 'CYTH1']",0.02040816326530612,0.08326685309114863,21,2,98
19,21,MPHOSPH10,"['PNO1', 'IMP4']",0.02040816326530612,0.06982647594566552,19,2,98
20,21,DKC1,"['DKC1', 'LYAR']",0.02040816326530612,0.029898660449475735,12,2,98
21,21,none,"['HSP90AB1', 'SERBP1']",0.02040816326530612,0.3803559559183167,57,2,98
22,21,GABARAPL2,"['SQSTM1', 'RRP1']",0.02040816326530612,0.0974208090387962,23,2,98
23,21,GAR1,"['DKC1', 'LYAR']",0.02040816326530612,0.021004377217222096,10,2,98
24,21,EZH2,"['EPOP', 'EED']",0.02040816326530612,0.010253916969668063,7,2,98
25,21,RPS8,"['EIF3J', 'NUDC']",0.02040816326530612,0.02529060818061739,11,2,98
26,21,RPL8,"['ABCE1', 'IMP4']",0.02040816326530612,0.021004377217222096,10,2,98
27,21,TFAM,"['CCDC59', 'TFAM']",0.02040816326530612,0.017057382346729842,9,2,98
28,21,DDX46,"['TFAM', 'CYCS']",0.02040816326530612,0.14328240112662813,29,2,98
29,21,CYTH3,"['CYTIP', 'CYTH1']",0.02040816326530612,0.08326685309114863,21,2,98
30,21,CCNF,"['SQSTM1', 'FABP5']",0.02040816326530612,0.2955843311349588,47,2,98
31,21,CYTH1,"['CYTIP', 'CYTH1']",0.02040816326530612,0.08326685309114863,21,2,98
32,21,HSPD1,"['HSPE1', 'HSPD1']",0.02040816326530612,0.001556157066148265,3,2,98
33,21,EGFR,"['EED', 'SOS1']",0.02040816326530612,0.6722625565526227,99,2,98
34,21,RRP36,"['RRP9', 'RRP1']",0.02040816326530612,0.010253916969668063,7,2,98
35,21,STK17B,"['STK17B', 'MYL12A']",0.02040816326530612,0.017057382346729842,9,2,98
36,21,EIF2S3B,"['EIF3J', 'EIF2S1']",0.02040816326530612,0.01346766586219806,8,2,98
37,21,TOMM22,"['TOMM5', 'TOMM40']",0.02040816326530612,0.11979141651186968,26,2,98
38,21,UBE2D3,"['RNF19B', 'RNF125']",0.02040816326530612,0.49115578780573055,71,2,98
39,21,FOXRED1,"['XAF1', 'TIMM23']",0.02040816326530612,0.021004377217222096,10,2,98
40,21,ABCE1,"['EIF3J', 'ABCE1']",0.02040816326530612,0.0074354917469861784,6,2,98
41,21,CCT3,"['HSP90AB1', 'CCT6A']",0.02040816326530612,0.02529060818061739,11,2,98
42,21,SQSTM1,"['SQSTM1', 'GABARAP']",0.02040816326530612,0.32985551025798454,51,2,98
43,21,TOMM5,"['TOMM5', 'TOMM40']",0.02040816326530612,0.001556157066148265,3,2,98
44,21,NOP14,"['EMG1', 'IMP4']",0.02040816326530612,0.03481172787162497,13,2,98
45,21,RPL14,"['IFRD2', 'BRIX1']",0.02040816326530612,0.05122170732073169,16,2,98
46,21,KITLG,"['CXCR4', 'SOS1']",0.02040816326530612,0.0074354917469861784,6,2,98
47,21,MYL12A,"['MYO1F', 'STK17B', 'MYL12A']",0.030612244897959183,0.0017163378819432624,11,3,98
48,21,CYTIP,"['CYTIP', 'CYTH1']",0.02040816326530612,0.0074354917469861784,6,2,98
49,21,RRS1,"['RPF2', 'BRIX1']",0.02040816326530612,0.06982647594566552,19,2,98
50,21,HSPE1,"['HSPE1', 'HSPD1']",0.02040816326530612,0.0030654947135490508,4,2,98
51,21,BIN1,"['BIN2', 'SOS1']",0.02040816326530612,0.02529060818061739,11,2,98
52,21,WDR3,"['PNO1', 'IMP4']",0.02040816326530612,0.09026051410570943,22,2,98
53,35,KDM1A,"['CBX3', 'BMAL1']",0.02040816326530612,0.2955843311349588,47,2,98
54,35,IL27RA,"['B4GALT5', 'IL27RA']",0.02040816326530612,0.03481172787162497,13,2,98
55,35,PTK2,"['LPXN', 'NEO1']",0.02040816326530612,0.0974208090387962,23,2,98
56,35,SEH1L,"['NUP85', 'WDR59']",0.02040816326530612,0.00503243366888972,5,2,98
57,35,BSG,"['ATP2B4', 'ITGB1']",0.02040816326530612,0.05122170732073169,16,2,98
58,35,BMAL1,"['CLOCK', 'BMAL1']",0.02040816326530612,0.0030654947135490508,4,2,98
59,35,MAP3K9,"['MAP3K21', 'HPCAL1']",0.02040816326530612,0.00503243366888972,5,2,98
60,35,RYK,"['NEO1', 'ADGRA3']",0.02040816326530612,0.021004377217222096,10,2,98
61,35,CLOCK,"['CLOCK', 'BMAL1']",0.02040816326530612,0.021004377217222096,10,2,98
62,35,SMARCA5,"['SSRP1', 'MACROH2A1']",0.02040816326530612,0.09026051410570943,22,2,98
63,35,UBE2D1,"['ZNRF1', 'RNF146']",0.02040816326530612,0.4212236623244327,62,2,98
64,35,UBE2D2,"['ZNRF1', 'RNF146', 'MIB1']",0.030612244897959183,0.2062306245293813,68,3,98
65,35,FLNA,"['PER2', 'ITGB1']",0.02040816326530612,0.03481172787162497,13,2,98
66,35,SMARCA1,"['SSRP1', 'MACROH2A1']",0.02040816326530612,0.04548861716822296,15,2,98
67,35,B4GALT5,"['B4GALT5', 'IL27RA']",0.02040816326530612,0.0030654947135490508,4,2,98
68,35,NUP107,"['NUP85', 'NUP133']",0.02040816326530612,0.029898660449475735,12,2,98
69,35,TP53RK,"['TPRKB', 'OSGEP']",0.02040816326530612,0.001556157066148265,3,2,98
70,35,UBE2D3,"['ZNRF1', 'RNF146']",0.02040816326530612,0.49115578780573055,71,2,98
71,35,NUP85,"['NUP85', 'NUP133']",0.02040816326530612,0.040013594582753186,14,2,98
72,35,NUP133,"['NUP85', 'NUP133']",0.02040816326530612,0.010253916969668063,7,2,98
73,35,PLXNB2,"['ARHGEF12', 'IL27RA']",0.02040816326530612,0.029898660449475735,12,2,98
74,35,LSM6,"['SSRP1', 'RNF146']",0.02040816326530612,0.02529060818061739,11,2,98
75,33,GSK3B,"['APP', 'CHD3', 'EEF1G']",0.030612244897959183,0.02330648641647818,27,3,98
76,33,COX6B1,"['NDUFB10', 'COX6A1']",0.02040816326530612,0.021004377217222096,10,2,98
77,33,NDUFA8,"['COX6C', 'NDUFA1']",0.02040816326530612,0.06340441194724844,18,2,98
78,33,KCNIP3,"['APP', 'ASPH']",0.02040816326530612,0.01346766586219806,8,2,98
79,33,ELAVL1,"['SETD7', 'PREPL']",0.02040816326530612,0.00503243366888972,5,2,98
80,33,COX6C,"['NDUFB10', 'COX6C', 'COX4I1']",0.030612244897959183,0.002250346836325688,12,3,98
81,33,COX5A,"['COX6C', 'COX4I1']",0.02040816326530612,0.1121968542522131,25,2,98
82,33,NDUFB6,"['NDUFB10', 'COX4I1']",0.02040816326530612,0.07645147514214128,20,2,98
83,33,GSK3A,"['APP', 'EEF1G']",0.02040816326530612,0.03481172787162497,13,2,98
84,33,COX6A2,"['COX6A1', 'COX4I1']",0.02040816326530612,0.04548861716822296,15,2,98
85,33,NDUFA13,"['NDUFB10', 'NDUFA1']",0.02040816326530612,0.08326685309114863,21,2,98
86,33,OGT,"['EEF1G', 'RSRC2']",0.02040816326530612,0.20958926345268164,37,2,98
87,33,NDUFB4,"['NDUFB10', 'NDUFA1']",0.02040816326530612,0.06982647594566552,19,2,98
88,33,RPL36,"['LYAR', 'NOP53', 'TIMM13']",0.030612244897959183,0.010201483177383576,20,3,98
89,33,COX4I1,"['COX6C', 'COX4I1']",0.02040816326530612,0.06340441194724844,18,2,98
90,33,NDUFAB1,"['COX6C', 'CLIC4', 'LYRM1']",0.030612244897959183,0.2002518362447345,67,3,98
91,33,MT-ND4,"['NDUFB10', 'COX4I1']",0.02040816326530612,0.04548861716822296,15,2,98
92,33,SNX17,"['APP', 'NPDC1']",0.02040816326530612,0.001556157066148265,3,2,98
93,33,NDUFA3,"['NDUFA1', 'COX4I1']",0.02040816326530612,0.08326685309114863,21,2,98
94,33,NDUFB10,"['NDUFB10', 'COX6C']",0.02040816326530612,0.06340441194724844,18,2,98
95,33,OCIAD1,"['ASPH', 'SFXN1']",0.02040816326530612,0.06340441194724844,18,2,98
96,33,TTF2,"['POLR2K', 'NT5E']",0.02040816326530612,0.040013594582753186,14,2,98
97,33,CXXC1,"['CHD3', 'SETD7']",0.02040816326530612,0.01346766586219806,8,2,98
98,33,HNRNPC,"['CHD3', 'TBK1']",0.02040816326530612,0.1121968542522131,25,2,98
99,33,HIF1AN,"['PDLIM2', 'MAPK6']",0.02040816326530612,0.017057382346729842,9,2,98
100,33,MT-CO2,"['COX6C', 'COX4I1']",0.02040816326530612,0.09026051410570943,22,2,98
101,33,SLIRP,"['PREPL', 'NME4']",0.02040816326530612,0.0571983149807814,17,2,98
102,33,HOXA1,"['METTL5', 'TBC1D10C']",0.02040816326530612,0.05122170732073169,16,2,98
103,33,NDUFB11,"['NDUFB10', 'COX6C', 'COX6A1']",0.030612244897959183,0.007549539249044994,18,3,98
104,33,MT-CO1,"['NDUFA1', 'COX6A1', 'COX4I1']",0.030612244897959183,0.010201483177383576,20,3,98
105,58,AHSA1,"['HSP90AA1', 'AHSA1']",0.02040816326530612,0.00503243366888972,5,2,98
106,58,BOP1,"['NOP16', 'EBNA1BP2']",0.02040816326530612,0.07645147514214128,20,2,98
107,58,TOMM40,"['TOMM5', 'TOMM22']",0.02040816326530612,0.010253916969668063,7,2,98
108,58,CD3G,"['CD3E', 'B2M']",0.02040816326530612,0.01346766586219806,8,2,98
109,58,BRIX1,"['NOP16', 'EBNA1BP2']",0.02040816326530612,0.040013594582753186,14,2,98
110,58,RHOA,"['FMNL1', 'SNRPG']",0.02040816326530612,0.2352550816031937,40,2,98
111,58,EEF1G,"['FEN1', 'GMPPB']",0.02040816326530612,0.040013594582753186,14,2,98
112,58,GAPVD1,"['PSMD3', 'EIF5']",0.02040816326530612,0.06982647594566552,19,2,98
113,58,SRGAP2,"['FMNL1', 'ACTG1']",0.02040816326530612,0.0571983149807814,17,2,98
114,58,HSP90AA1,"['HSP90AA1', 'HSPH1', 'AHSA1']",0.030612244897959183,0.00535698610066182,16,3,98
115,58,WAS,"['FNBP1', 'ACTG1']",0.02040816326530612,0.029898660449475735,12,2,98
116,58,RPL26L1,"['NOP16', 'PA2G4']",0.02040816326530612,0.01346766586219806,8,2,98
117,58,HSPH1,"['HSP90AA1', 'HSPH1']",0.02040816326530612,0.021004377217222096,10,2,98
118,58,EIF2S3B,"['CDC123', 'EIF3J', 'EIF5']",0.030612244897959183,0.0006126702920780617,8,3,98
119,58,PPP5C,"['HSP90AA1', 'SDF2L1']",0.02040816326530612,0.017057382346729842,9,2,98
120,58,HSPA5,"['HSP90AA1', 'HSPH1']",0.02040816326530612,0.010253916969668063,7,2,98
121,58,TOMM22,"['TOMM5', 'TOMM22']",0.02040816326530612,0.11979141651186968,26,2,98
122,58,CBX5,"['CBX3', 'KDM4B']",0.02040816326530612,0.021004377217222096,10,2,98
123,58,EIF1AX,"['EIF3J', 'GAR1']",0.02040816326530612,0.00503243366888972,5,2,98
124,58,EIF1AY,"['EIF3J', 'GAR1']",0.02040816326530612,0.010253916969668063,7,2,98
125,58,TOMM5,"['TOMM5', 'TOMM22']",0.02040816326530612,0.001556157066148265,3,2,98
126,58,EIF2S3,"['CDC123', 'EIF5']",0.02040816326530612,0.01346766586219806,8,2,98
127,58,CDC37,"['TCP1', 'HSP90AA1']",0.02040816326530612,0.03481172787162497,13,2,98
128,58,PCNA,"['POLH', 'FEN1']",0.02040816326530612,0.021004377217222096,10,2,98
129,41,STT3B,"['MAGT1', 'RPN1', 'MLEC']",0.030612244897959183,0.0028767896276550246,13,3,98
130,41,H2AX,"['COPG1', 'BAZ1B']",0.02040816326530612,0.127510210919501,27,2,98
131,41,BATF,"['BATF', 'JUNB']",0.02040816326530612,0.15131766095154203,30,2,98
132,41,ATRX,"['SUPT16H', 'MACROH2A1']",0.02040816326530612,0.1759185589312596,33,2,98
133,41,COPA,"['COPG1', 'ARFGAP3', 'SURF4']",0.030612244897959183,0.0017163378819432624,11,3,98
134,41,MYC,"['COPG1', 'EED']",0.02040816326530612,0.127510210919501,27,2,98
135,41,JUND,"['BATF', 'JUNB']",0.02040816326530612,0.06340441194724844,18,2,98
136,41,BATF2,"['BATF', 'JUNB']",0.02040816326530612,0.0974208090387962,23,2,98
137,41,DDIT3,"['BATF', 'JUNB']",0.02040816326530612,0.06340441194724844,18,2,98
138,41,ARF1,"['COPG1', 'ARFGAP3']",0.02040816326530612,0.03481172787162497,13,2,98
139,41,MZB1,"['HSP90B1', 'MZB1']",0.02040816326530612,0.00503243366888972,5,2,98
140,41,TMEM258,"['STT3A', 'RPN1', 'MLEC']",0.030612244897959183,0.0017163378819432624,11,3,98
141,41,GRK2,"['GIT1', 'GRK2']",0.02040816326530612,0.010253916969668063,7,2,98
142,41,OSTC,"['OSTC', 'STT3A']",0.02040816326530612,0.001556157066148265,3,2,98
143,41,JDP2,"['BATF', 'JUNB']",0.02040816326530612,0.06340441194724844,18,2,98
144,41,ASXL1,"['DUT', 'EED']",0.02040816326530612,0.021004377217222096,10,2,98
145,41,PXN,"['GIT1', 'GRK2']",0.02040816326530612,0.0974208090387962,23,2,98
146,41,DNAJC3,"['DNAJC3', 'HSPA5']",0.02040816326530612,0.001556157066148265,3,2,98
147,41,SEC63,"['SEC61G', 'SEC61A1']",0.02040816326530612,0.0074354917469861784,6,2,98
148,41,MAGT1,"['MAGT1', 'STT3A']",0.02040816326530612,0.00503243366888972,5,2,98
149,41,COPG1,"['COPG1', 'ARFGAP3']",0.02040816326530612,0.06982647594566552,19,2,98
150,41,SPCS1,"['SPCS3', 'SEC11C']",0.02040816326530612,0.010253916969668063,7,2,98
151,41,SSR1,"['SSR4', 'SSR2', 'SSR1']",0.030612244897959183,4.6819418747479244e-05,4,3,98
152,41,FOS,"['BATF', 'JUNB']",0.02040816326530612,0.0974208090387962,23,2,98
153,41,SMARCA5,"['HDAC1', 'MACROH2A1', 'BAZ1B']",0.030612244897959183,0.013330242945540381,22,3,98
154,41,HSPA13,"['SPCS3', 'HSPA13']",0.02040816326530612,0.0005266554354874238,2,2,98
155,41,TUSC3,"['MAGT1', 'STT3A']",0.02040816326530612,0.0030654947135490508,4,2,98
156,41,DAD1,"['SEC61G', 'RPN1', 'STT3A']",0.030612244897959183,0.0017163378819432624,11,3,98
157,41,GIT1,"['GIT1', 'GRK2']",0.02040816326530612,0.03481172787162497,13,2,98
158,41,SPCS3,"['SPCS3', 'HSPA13', 'SEC11C']",0.030612244897959183,0.00022631751269680097,6,3,98
159,41,MLEC,"['STT3A', 'RPN1', 'MLEC']",0.030612244897959183,0.00038942869028147704,7,3,98
160,41,SEC61B,"['SSR4', 'SEC61G', 'SSR2', 'STT3A', 'SEC61A1']",0.05102040816326531,0.00823396863053076,55,5,98
161,41,STT3A,"['MLEC', 'RPN1', 'MAGT1', 'OSTC', 'STT3A']",0.05102040816326531,4.106419231186742e-06,12,5,98
162,41,CDT1,"['GMNN', 'MCM4']",0.02040816326530612,0.010253916969668063,7,2,98
163,41,SSR3,"['SSR3', 'SSR4', 'SSR2', 'SEC61G']",0.04081632653061224,8.835942583899502e-06,7,4,98
164,41,EGFR,"['PICALM', 'ACTN4', 'EED']",0.030612244897959183,0.4012366491491772,99,3,98
165,41,SEC61A1,"['SEC61G', 'SEC61A1']",0.02040816326530612,0.01346766586219806,8,2,98
166,41,ARFGAP3,"['COPG1', 'ARFGAP3']",0.02040816326530612,0.00503243366888972,5,2,98
167,41,RPN2,"['SSR4', 'RPN1', 'TRAM1', 'PDIA5', 'STT3A']",0.05102040816326531,6.551364324198626e-06,13,5,98
168,41,SMARCA1,"['MACROH2A1', 'BAZ1B']",0.02040816326530612,0.04548861716822296,15,2,98
169,41,ATF7,"['BATF', 'JUNB']",0.02040816326530612,0.06340441194724844,18,2,98
170,41,HSPA5,"['DNAJC3', 'HSPA5']",0.02040816326530612,0.010253916969668063,7,2,98
171,41,ATF3,"['BATF', 'JUNB']",0.02040816326530612,0.10473652146505276,24,2,98
172,41,FOSB,"['HDAC1', 'BATF', 'JUNB']",0.030612244897959183,0.011705384626571745,21,3,98
173,41,DDOST,"['STT3A', 'RPN1', 'MLEC']",0.030612244897959183,0.00038942869028147704,7,3,98
174,41,TMED10,"['TMED9', 'NUCB2']",0.02040816326530612,0.03481172787162497,13,2,98
175,41,CANX,"['PDIA3', 'RPN1']",0.02040816326530612,0.05122170732073169,16,2,98
176,41,SMARCC2,"['HDAC1', 'BAZ1B']",0.02040816326530612,0.09026051410570943,22,2,98
177,41,HSP90B1,"['HSP90B1', 'MZB1']",0.02040816326530612,0.0074354917469861784,6,2,98
178,41,SSR4,"['SSR3', 'SSR4', 'SSR2', 'SSR1']",0.04081632653061224,3.855048379288691e-06,6,4,98
179,41,JUNB,"['BATF', 'JUNB']",0.02040816326530612,0.06982647594566552,19,2,98
180,41,PDIA6,"['DNAJC3', 'HSPA5']",0.02040816326530612,0.001556157066148265,3,2,98
181,41,TRAM1,"['SEC61G', 'TRAM1']",0.02040816326530612,0.01346766586219806,8,2,98
182,41,SEC61G,"['RPN1', 'SSR3', 'TRAM1', 'SEC61G', 'SSR2', 'SEC61A1']",0.061224489795918366,5.29525907313686e-06,21,6,98
183,41,SSR2,"['SSR4', 'SSR1', 'SSR3', 'SEC61G', 'SSR2']",0.05102040816326531,3.474214100892532e-08,6,5,98
184,41,RPN1,"['STT3A', 'SEC61G', 'RPN1', 'MLEC']",0.04081632653061224,0.0001622041985612283,13,4,98
185,41,SMARCC1,"['HDAC1', 'BAZ1B']",0.02040816326530612,0.1121968542522131,25,2,98
186,41,EGLN3,"['COPG1', 'PPM1G']",0.02040816326530612,0.14328240112662813,29,2,98
187,41,H3-7,"['SUPT16H', 'EED']",0.02040816326530612,0.08326685309114863,21,2,98
188,41,OST4,"['SSR3', 'SEC61G', 'STT3A']",0.030612244897959183,0.0017163378819432624,11,3,98
189,41,VAMP2,"['PICALM', 'RABAC1']",0.02040816326530612,0.24385653371146296,41,2,98
190,41,FOSL2,"['BATF', 'JUNB']",0.02040816326530612,0.08326685309114863,21,2,98
191,41,CNPY2,"['SSR3', 'HSP90B1']",0.02040816326530612,0.00503243366888972,5,2,98
192,41,SEC11C,"['SPCS3', 'SEC11C']",0.02040816326530612,0.0030654947135490508,4,2,98
193,77,PTPRC,"['PTPRC', 'LGALS1']",0.02040816326530612,0.03481172787162497,13,2,98
194,77,BOP1,"['NOP16', 'BRIX1', 'EBNA1BP2', 'WDR12']",0.04081632653061224,0.0009707150661836687,20,4,98
195,77,EBNA1BP2,"['BRIX1', 'EBNA1BP2']",0.02040816326530612,0.017057382346729842,9,2,98
196,77,TOMM40,"['TOMM5', 'TOMM22']",0.02040816326530612,0.010253916969668063,7,2,98
197,77,CCT5,"['TCP1', 'CCT4']",0.02040816326530612,0.021004377217222096,10,2,98
198,77,TRARG1,"['EVI2A', 'CD53']",0.02040816326530612,0.01346766586219806,8,2,98
199,77,BRIX1,"['NOP16', 'BRIX1', 'EBNA1BP2']",0.030612244897959183,0.0036005276048554757,14,3,98
200,77,RPL36,"['BRIX1', 'LYAR']",0.02040816326530612,0.07645147514214128,20,2,98
201,77,GIMAP5,"['GIMAP4', 'GIMAP5']",0.02040816326530612,0.0005266554354874238,2,2,98
202,77,LYAR,"['DKC1', 'GAR1', 'LYAR']",0.030612244897959183,0.00022631751269680097,6,3,98
203,77,FBL,"['GAR1', 'NOLC1']",0.02040816326530612,0.017057382346729842,9,2,98
204,77,TOMM70,"['TOMM22', 'TIMM23']",0.02040816326530612,0.07645147514214128,20,2,98
205,77,RPL7L1,"['NOP16', 'IFRD2']",0.02040816326530612,0.017057382346729842,9,2,98
206,77,IKBKE,"['TANK', 'IKBKE']",0.02040816326530612,0.0030654947135490508,4,2,98
207,77,MPHOSPH10,"['PNO1', 'IMP4']",0.02040816326530612,0.06982647594566552,19,2,98
208,77,DKC1,"['GAR1', 'DKC1', 'LYAR']",0.030612244897959183,0.002250346836325688,12,3,98
209,77,WRAP53,"['DKC1', 'GAR1']",0.02040816326530612,0.0030654947135490508,4,2,98
210,77,ACTR2,"['TCP1', 'GMFG']",0.02040816326530612,0.03481172787162497,13,2,98
211,77,SHQ1,"['RUVBL1', 'DKC1']",0.02040816326530612,0.001556157066148265,3,2,98
212,77,GAR1,"['DKC1', 'GAR1', 'LYAR']",0.030612244897959183,0.0012694028647608421,10,3,98
213,77,CCT2,"['TCP1', 'CCT4']",0.02040816326530612,0.010253916969668063,7,2,98
214,77,EVI2A,"['MAL', 'EVI2A']",0.02040816326530612,0.021004377217222096,10,2,98
215,77,IFITM3,"['EVI2A', 'CD53']",0.02040816326530612,0.05122170732073169,16,2,98
216,77,HSP90AB1,"['HSPH1', 'CHORDC1']",0.02040816326530612,0.09026051410570943,22,2,98
217,77,HSP90AA1,"['CHORDC1', 'HSPH1', 'AHSA1']",0.030612244897959183,0.00535698610066182,16,3,98
218,77,DDRGK1,"['BRIX1', 'PGAM5']",0.02040816326530612,0.02529060818061739,11,2,98
219,77,TANK,"['TANK', 'IKBKE']",0.02040816326530612,0.001556157066148265,3,2,98
220,77,EGFR,"['PAK1IP1', 'ITGB2']",0.02040816326530612,0.6722625565526227,99,2,98
221,77,CCT6A,"['TCP1', 'CCT6A']",0.02040816326530612,0.010253916969668063,7,2,98
222,77,ITGAL,"['PTPRC', 'ITGB2']",0.02040816326530612,0.08326685309114863,21,2,98
223,77,TOMM22,"['TOMM5', 'TOMM22']",0.02040816326530612,0.11979141651186968,26,2,98
224,77,TCP1,"['TCP1', 'CCT6A', 'CCT4']",0.030612244897959183,0.004425947777199793,15,3,98
225,77,NOP16,"['NOP16', 'BRIX1']",0.02040816326530612,0.017057382346729842,9,2,98
226,77,FOXRED1,"['TOMM22', 'TIMM23']",0.02040816326530612,0.021004377217222096,10,2,98
227,77,GTPBP4,"['BRIX1', 'EBNA1BP2']",0.02040816326530612,0.08326685309114863,21,2,98
228,77,CCT7,"['TCP1', 'CCT4']",0.02040816326530612,0.017057382346729842,9,2,98
229,77,CCT4,"['TCP1', 'CCT4']",0.02040816326530612,0.02529060818061739,11,2,98
230,77,CCT3,"['TCP1', 'CCT6A', 'CCT4']",0.030612244897959183,0.0017163378819432624,11,3,98
231,77,MRPL58,"['C1QBP', 'PGAM5']",0.02040816326530612,0.10473652146505276,24,2,98
232,77,TOMM5,"['TOMM5', 'TOMM22']",0.02040816326530612,0.001556157066148265,3,2,98
233,77,MAL,"['MAL', 'EVI2A']",0.02040816326530612,0.0030654947135490508,4,2,98
234,77,RPL14,"['IFRD2', 'BRIX1']",0.02040816326530612,0.05122170732073169,16,2,98
235,77,LGALS1,"['PTPRC', 'LGALS1']",0.02040816326530612,0.00503243366888972,5,2,98
236,77,CCT8,"['TCP1', 'CCT6A']",0.02040816326530612,0.01346766586219806,8,2,98
237,77,RRS1,"['BRIX1', 'EBNA1BP2']",0.02040816326530612,0.06982647594566552,19,2,98
238,77,ABRAXAS2,"['NUMA1', 'AHSA1']",0.02040816326530612,0.00503243366888972,5,2,98
239,77,GIMAP4,"['GIMAP4', 'GIMAP5']",0.02040816326530612,0.0005266554354874238,2,2,98
240,77,WDR3,"['PNO1', 'IMP4']",0.02040816326530612,0.09026051410570943,22,2,98
241,-1,HADHA,"['SQSTM1', 'PSMG1']",0.02040816326530612,0.09026051410570943,22,2,98
242,-1,KDM1A,"['TFDP1', 'CBX3']",0.02040816326530612,0.2955843311349588,47,2,98
243,-1,E2F1,"['TFDP1', 'CCNA2']",0.02040816326530612,0.040013594582753186,14,2,98
244,-1,DDX39B,"['LENG8', 'ALYREF']",0.02040816326530612,0.021004377217222096,10,2,98
245,-1,JMJD1C,"['JMJD1C', 'YPEL5']",0.02040816326530612,0.00503243366888972,5,2,98
246,-1,SYT1,"['VAMP2', 'SLC38A5']",0.02040816326530612,0.010253916969668063,7,2,98
247,-1,CCT5,"['CCT5', 'CCT4', 'TCP1']",0.030612244897959183,0.0012694028647608421,10,3,98
248,-1,KLHL20,"['KLHL24', 'BCL6']",0.02040816326530612,0.02529060818061739,11,2,98
249,-1,NBR1,"['NBR1', 'SQSTM1']",0.02040816326530612,0.010253916969668063,7,2,98
250,-1,OGT,"['SHOC2', 'HSP90AA1']",0.02040816326530612,0.20958926345268164,37,2,98
251,-1,SMCO4,"['BNIP3L', 'EBP']",0.02040816326530612,0.07645147514214128,20,2,98
252,-1,RPL36,"['BRIX1', 'LYAR', 'TIMM13']",0.030612244897959183,0.010201483177383576,20,3,98
253,-1,KLHL12,"['KLHL24', 'BCL6']",0.02040816326530612,0.029898660449475735,12,2,98
254,-1,LYAR,"['DKC1', 'LYAR']",0.02040816326530612,0.0074354917469861784,6,2,98
255,-1,BACH2,"['KLHL24', 'BCL6']",0.02040816326530612,0.040013594582753186,14,2,98
256,-1,TUBB,"['TUBB', 'TUBA1B']",0.02040816326530612,0.0074354917469861784,6,2,98
257,-1,EXOSC10,"['NDC1', 'EXOSC8']",0.02040816326530612,0.0571983149807814,17,2,98
258,-1,EHMT2,"['CBX3', 'CCNA2']",0.02040816326530612,0.14328240112662813,29,2,98
259,-1,DHX38,"['SNRNP40', 'CYCS']",0.02040816326530612,0.10473652146505276,24,2,98
260,-1,DKC1,"['DKC1', 'LYAR']",0.02040816326530612,0.029898660449475735,12,2,98
261,-1,TOPBP1,"['PLK1', 'CCNA2']",0.02040816326530612,0.11979141651186968,26,2,98
262,-1,GABARAPL2,"['BNIP3L', 'SQSTM1']",0.02040816326530612,0.0974208090387962,23,2,98
263,-1,RACGAP1,"['RHOC', 'SHCBP1']",0.02040816326530612,0.029898660449475735,12,2,98
264,-1,GAR1,"['DKC1', 'LYAR']",0.02040816326530612,0.021004377217222096,10,2,98
265,-1,CCT2,"['TCP1', 'CCT4', 'CCT5']",0.030612244897959183,0.00038942869028147704,7,3,98
266,-1,DDX46,"['DHX15', 'CYCS', 'ALYREF']",0.030612244897959183,0.02817009500249722,29,3,98
267,-1,FKBP4,"['SQSTM1', 'HSP90AA1']",0.02040816326530612,0.01346766586219806,8,2,98
